16-Nov-2021 14:10:36  | FRM | ### | ----------------------------------------------------------------------------
16-Nov-2021 14:11:40  | INF | ### | | S23:g:OutlierCnt:Scr23, vco_diff = -1|        100.00|     0.00  | S23 -> combo |
16-Nov-2021 14:11:40  | INF | ### | | S23:g:TimeIndex:Outlier:first:Scr23, vco_diff = -1|          0.00|     0.00  | S23 -> combo |
16-Nov-2021 14:11:40  | INF | ### | | S23:g:TimeIndex:Outlier:last:Scr23, vco_diff = -1|         99.00|     0.00  | S23 -> combo |
16-Nov-2021 14:11:41  | INF | ### | | S23_AoutStUp_Loop, vco_diff = 1|          7.00|     0.00  | S23 -> combo |
16-Nov-2021 14:11:41  | INF | ### | | S23:g:OutlierCnt:Scr23, vco_diff = 1|        100.00|     0.00  | S23 -> combo |
16-Nov-2021 14:11:41  | INF | ### | | S23:g:TimeIndex:Outlier:first:Scr23, vco_diff = 1|          0.00|     0.00  | S23 -> combo |
16-Nov-2021 14:11:41  | INF | ### | | S23:g:TimeIndex:Outlier:last:Scr23, vco_diff = 1|         99.00|     0.00  | S23 -> combo |
16-Nov-2021 14:11:41  | INF | ### | sample trace out files have been created in ;c:\TempMessdaten\\20211116141036\\AoutStartUp_Loop7_Pos1_module_id_6470_20211116141140.csv
16-Nov-2021 14:11:43  | INF | ### | | GYRO_STARTUP time         |        0.00ms|   0.00ms  | check only the mean value |
16-Nov-2021 14:11:43  | INF | ### | | ASIC_temp_start           |     22.60degC| 0.02degC  | ^~temperature taken upon start~^ |
16-Nov-2021 14:11:43  | INF | ### | | ASIC_temp_end             |     22.70degC| 0.01degC  | ^~temperature taken at the end~^ |
16-Nov-2021 14:11:43  | INF | ### | 
16-Nov-2021 14:11:44  | INF | ### | Paranoia power reset (TM)
16-Nov-2021 14:11:48  | INF | ### | | a_x_G32_stim_zp1g         |       -4.41mg|   2.63mg  | -20mg < DC < 20 mg, AC < 2 mg |
16-Nov-2021 14:11:48  | INF | ### | | a_y_G32_stim_zp1g         |      -19.06mg|   3.01mg  | -20mg < DC < 20 mg, AC < 2 mg |
16-Nov-2021 14:11:49  | INF | ### | | a_z_G32_stim_zp1g         |      992.03mg|   2.56mg  | 900mg < DC < 1100 mg, AC < 2 mg |
16-Nov-2021 14:11:49  | INF | ### | | a_x_G16_stim_zp1g         |        1.93mg|   1.73mg  | -20mg < DC < 20 mg, AC < 2 mg |
16-Nov-2021 14:11:49  | INF | ### | | a_y_G16_stim_zp1g         |      -20.18mg|   1.71mg  | -20mg < DC < 20 mg, AC < 2 mg |
16-Nov-2021 14:11:49  | INF | ### | | a_z_G16_stim_zp1g         |      992.23mg|   2.30mg  | 900mg < DC < 1100 mg, AC < 2 mg |
16-Nov-2021 14:11:50  | INF | ### | | a_x_stim_zp1g_pre_bite    |        1.02mg|   1.70mg  | -20mg < DC < 20 mg, AC < 2 mg |
16-Nov-2021 14:11:50  | INF | ### | | a_y_stim_zp1g_pre_bite    |      -25.82mg|   2.66mg  | -20mg < DC < 20 mg, AC < 2 mg |
16-Nov-2021 14:11:50  | INF | ### | | a_z_stim_zp1g_pre_bite    |      985.43mg|   2.52mg  | 980mg < DC < 1020 mg, AC < 2 mg |
16-Nov-2021 14:11:51  | INF | ### | | a_x_stim_zp1g_bite_sign0  |     4920.94mg|   0.91mg  | 3000mg < DC < 7000 mg |
16-Nov-2021 14:11:51  | INF | ### | | a_y_stim_zp1g_bite_sign0  |    -4556.60mg|   1.77mg  | -6500mg < DC < -2000 mg |
16-Nov-2021 14:11:51  | INF | ### | | a_z_stim_zp1g_bite_sign0  |    -3706.72mg|   1.31mg  | -5000mg < DC < -2000 mg |
16-Nov-2021 14:11:52  | INF | ### | | a_x_stim_zp1g_bite_sign1  |    -5278.75mg|   2.20mg  | -7000mg < DC < -3000 mg |
16-Nov-2021 14:11:52  | INF | ### | | a_y_stim_zp1g_bite_sign1  |     4366.76mg|   2.31mg  | 2000mg < DC < 6500 mg |
16-Nov-2021 14:11:52  | INF | ### | | a_z_stim_zp1g_bite_sign1  |     5597.54mg|   1.92mg  | 4000mg < DC < 7000 mg |
16-Nov-2021 14:11:53  | INF | ### | | a_x_stim_zp1g_post_bite   |        1.02mg|   1.75mg  | -20mg < DC < 20 mg, AC < 2 mg |
16-Nov-2021 14:11:53  | INF | ### | | a_y_stim_zp1g_post_bite   |      -25.31mg|   2.03mg  | -20mg < DC < 20 mg, AC < 2 mg |
16-Nov-2021 14:11:53  | INF | ### | | a_z_stim_zp1g_post_bite   |      984.80mg|   1.49mg  | 980mg < DC < 1020 mg, AC < 2 mg |
16-Nov-2021 14:11:53  | INF | ### | | a_x_stim_zp1g_bite_sum    |     -359.84mg|   0.00mg  | 3750mg < DC < 3750mg |
16-Nov-2021 14:11:53  | INF | ### | | a_y_stim_zp1g_bite_sum    |     -138.20mg|   0.00mg  | 3750mg < DC < 3750mg |
16-Nov-2021 14:11:53  | INF | ### | | a_z_stim_zp1g_bite_sum    |      -80.04mg|   0.00mg  | 3750mg < DC < 3750mg |
16-Nov-2021 14:11:53  | INF | ### | | a_x_stim_zp1g_bite_diff   |    10199.69mg|   0.00mg  | 6500mg < DC < 13000mg |
16-Nov-2021 14:11:53  | INF | ### | | a_y_stim_zp1g_bite_diff   |    -8923.36mg|   0.00mg  | -12000mg < DC < -5500mg |
16-Nov-2021 14:11:53  | INF | ### | | a_z_stim_zp1g_bite_diff   |    -9304.26mg|   0.00mg  | -11500mg < DC < -7000mg |
16-Nov-2021 14:11:53  | INF | ### | | a_x_stim_zp1g_prepost_bite|        0.00mg|   0.00mg  | -10 mg < DC < 10mg |
16-Nov-2021 14:11:53  | INF | ### | | a_y_stim_zp1g_prepost_bite|        0.51mg|   0.00mg  | -10 mg < DC < 10mg |
16-Nov-2021 14:11:53  | INF | ### | | a_z_stim_zp1g_prepost_bite|       -0.63mg|   0.00mg  | -10 mg < DC < 10mg |
16-Nov-2021 14:11:55  | INF | ### | | a_x_S28_SC_Sensor_Mode    |   25470.16LSB|  0.64LSB  | X < DC < X, AC < X |
16-Nov-2021 14:11:55  | INF | ### | | a_y_S28_SC_Sensor_Mode    |  -25732.97LSB|  0.80LSB  | X < DC < X, AC < X |
16-Nov-2021 14:11:55  | INF | ### | | a_z_S28_SC_Sensor_Mode    |  -26015.39LSB|  0.58LSB  | X < DC < X, AC < X |
16-Nov-2021 14:11:56  | INF | ### | | a_x_S28_SC_CBIST          |   22743.55LSB|  1.02LSB  | X < DC < X, AC < X |
16-Nov-2021 14:11:56  | INF | ### | | a_y_S28_SC_CBIST          |  -23150.39LSB|  1.05LSB  | X < DC < X, AC < X |
16-Nov-2021 14:11:56  | INF | ### | | a_z_S28_SC_CBIST          |  -23110.47LSB|  1.27LSB  | X < DC < X, AC < X |
16-Nov-2021 14:11:56  | INF | ### | | NSF_S28_x                 |          0.89|     0.00  | NSF_S28_x |
16-Nov-2021 14:11:56  | INF | ### | | NSF_S28_y                 |          0.90|     0.00  | NSF_S28_y |
16-Nov-2021 14:11:56  | INF | ### | | NSF_S28_z                 |          0.89|     0.00  | NSF_S28_z |
16-Nov-2021 14:11:57  | INF | ### | | a_x_S28_DC_SC_CBIST       |    -170.31LSB|  0.63LSB  | X < DC < X, AC < X |
16-Nov-2021 14:11:57  | INF | ### | | a_y_S28_DC_SC_CBIST       |      30.78LSB|  0.64LSB  | X < DC < X, AC < X |
16-Nov-2021 14:11:57  | INF | ### | | a_z_S28_DC_SC_CBIST       |      61.64LSB|  0.76LSB  | X < DC < X, AC < X |
16-Nov-2021 14:11:57  | INF | ### | | a_x_S28_DC_SC_CBIST_nsf   |          0.56|     0.00  | a_x_S28_DC_SC_CBIST_nsf |
16-Nov-2021 14:11:57  | INF | ### | | a_y_S28_DC_SC_CBIST_nsf   |          0.57|     0.00  | a_y_S28_DC_SC_CBIST_nsf |
16-Nov-2021 14:11:57  | INF | ### | | a_z_S28_DC_SC_CBIST_nsf   |          0.68|     0.00  | a_z_S28_DC_SC_CBIST_nsf |
16-Nov-2021 14:11:57  | INF | ### | | c_odr_trim_current        |         -3.00|     0.00  | c_odr_trim_current |
16-Nov-2021 14:11:58  | INF | ### | | acc_trm_dgain_s0_y        |   -7364.00LSB|  0.00LSB  | dgain_s0_DC_CBIST_Noise_nsf_S28 |
16-Nov-2021 14:11:58  | INF | ### | | acc_trm_dgain_s0_z        |   -7364.00LSB|  0.00LSB  | dgain_s0_DC_CBIST_Noise_nsf_S28 |
16-Nov-2021 14:11:58  | INF | ### | | acc_trm_dgain_s0_x        |   -7364.00LSB|  0.00LSB  | dgain_s0_DC_CBIST_Noise_nsf_S28 |
16-Nov-2021 14:11:58  | INF | ### | | a_x_S28_DC_CBIST          |    -128.48LSB|  0.49LSB  | X < DC < X, AC < X |
16-Nov-2021 14:11:58  | INF | ### | | a_y_S28_DC_CBIST          |      22.81LSB|  0.62LSB  | X < DC < X, AC < X |
16-Nov-2021 14:11:58  | INF | ### | | a_z_S28_DC_CBIST          |      44.77LSB|  0.37LSB  | X < DC < X, AC < X |
16-Nov-2021 14:11:59  | INF | ### | | tm_acc_ileak              |       1.00LSB|  0.00LSB  | tm_acc_ileak |
16-Nov-2021 14:11:59  | INF | ### | | a_x_S28_DC_ILEAK_Noise    |    -128.75LSB|  0.67LSB  | X < DC < X, AC < X |
16-Nov-2021 14:11:59  | INF | ### | | a_y_S28_DC_ILEAK_Noise    |      22.42LSB|  0.60LSB  | X < DC < X, AC < X |
16-Nov-2021 14:11:59  | INF | ### | | a_z_S28_DC_ILEAK_Noise    |      44.14LSB|  0.75LSB  | X < DC < X, AC < X |
16-Nov-2021 14:11:59  | INF | ### | | a_x_S28_DC_ILEAK_DIFF     |          0.27|     0.00  | a_x_S28_DC_ILEAK_DIFF |
16-Nov-2021 14:11:59  | INF | ### | | a_y_S28_DC_ILEAK_DIFF     |          0.39|     0.00  | a_y_S28_DC_ILEAK_DIFF |
16-Nov-2021 14:11:59  | INF | ### | | a_z_S28_DC_ILEAK_DIFF     |          0.63|     0.00  | a_z_S28_DC_ILEAK_DIFF |
16-Nov-2021 14:11:59  | INF | ### | | tm_acc_axis_en            |       5.00LSB|  0.00LSB  | tm_acc_axis_en |
16-Nov-2021 14:12:00  | INF | ### | | a_x_S28_DC_ILEAK_CH2_Noise|    -130.27LSB|  0.49LSB  | X < DC < X, AC < X |
16-Nov-2021 14:12:00  | INF | ### | | a_y_S28_DC_ILEAK_CH2_Noise|   31999.02LSB|  0.00LSB  | X < DC < X, AC < X |
16-Nov-2021 14:12:00  | INF | ### | | a_z_S28_DC_ILEAK_CH2_Noise|      44.02LSB|  0.48LSB  | X < DC < X, AC < X |
16-Nov-2021 14:12:00  | INF | ### | | a_x_S28_DC_ILEAK_CH2_DIFF |          1.52|     0.00  | a_x_S28_DC_ILEAK_CH2_DIFF |
16-Nov-2021 14:12:00  | INF | ### | | a_y_S28_DC_ILEAK_CH2_DIFF |     -31976.60|     0.00  | a_y_S28_DC_ILEAK_CH2_DIFF |
16-Nov-2021 14:12:00  | INF | ### | | a_z_S28_DC_ILEAK_CH2_DIFF |          0.12|     0.00  | a_z_S28_DC_ILEAK_CH2_DIFF |
