14-Dec-2021 18:00:34  | FRM | ### | ----------------------------------------------------------------------------
14-Dec-2021 18:01:34  | INF | ### | | S23:g:TimeIndex:Outlier:last:Scr23, vco_diff = -2|         27.00|     0.00  | S23 -> combo |
14-Dec-2021 18:01:36  | INF | ### | | S23_AoutStUp_Loop, vco_diff = 2|          5.00|     0.00  | S23 -> combo |
14-Dec-2021 18:01:36  | INF | ### | | S23:g:OutlierCnt:Scr23, vco_diff = 2|         12.00|     0.00  | S23 -> combo |
14-Dec-2021 18:01:36  | INF | ### | | S23:g:TimeIndex:Outlier:first:Scr23, vco_diff = 2|          0.00|     0.00  | S23 -> combo |
14-Dec-2021 18:01:36  | INF | ### | | S23:g:TimeIndex:Outlier:last:Scr23, vco_diff = 2|         27.00|     0.00  | S23 -> combo |
14-Dec-2021 18:01:38  | INF | ### | | S23_AoutStUp_Loop, vco_diff = -1|          6.00|     0.00  | S23 -> combo |
14-Dec-2021 18:01:38  | INF | ### | | S23:g:OutlierCnt:Scr23, vco_diff = -1|         14.00|     0.00  | S23 -> combo |
14-Dec-2021 18:01:38  | INF | ### | | S23:g:TimeIndex:Outlier:first:Scr23, vco_diff = -1|          0.00|     0.00  | S23 -> combo |
14-Dec-2021 18:01:38  | INF | ### | | S23:g:TimeIndex:Outlier:last:Scr23, vco_diff = -1|         27.00|     0.00  | S23 -> combo |
14-Dec-2021 18:01:39  | INF | ### | | S23_AoutStUp_Loop, vco_diff = 1|          7.00|     0.00  | S23 -> combo |
14-Dec-2021 18:01:39  | INF | ### | | S23:g:OutlierCnt:Scr23, vco_diff = 1|         12.00|     0.00  | S23 -> combo |
14-Dec-2021 18:01:39  | INF | ### | | S23:g:TimeIndex:Outlier:first:Scr23, vco_diff = 1|          0.00|     0.00  | S23 -> combo |
14-Dec-2021 18:01:39  | INF | ### | | S23:g:TimeIndex:Outlier:last:Scr23, vco_diff = 1|         26.00|     0.00  | S23 -> combo |
14-Dec-2021 18:01:39  | INF | ### | sample trace out files have been created in ;c:\TempMessdaten\\20211214180034\\AoutStartUp_Loop7_Pos1_module_id_14099_20211214180138.csv
14-Dec-2021 18:01:41  | INF | ### | | GYRO_STARTUP time         |       32.54ms|   0.00ms  | check only the mean value |
14-Dec-2021 18:01:41  | INF | ### | | ASIC_temp_start           |     21.05degC| 0.01degC  | ^~temperature taken upon start~^ |
14-Dec-2021 18:01:41  | INF | ### | | ASIC_temp_end             |     21.18degC| 0.00degC  | ^~temperature taken at the end~^ |
14-Dec-2021 18:01:41  | INF | ### | 
14-Dec-2021 18:01:43  | INF | ### | Paranoia power reset (TM)
14-Dec-2021 18:01:47  | INF | ### | | a_x_G32_stim_zp1g         |        0.12mg|   1.86mg  | -20mg < DC < 20 mg, AC < 2 mg |
14-Dec-2021 18:01:47  | INF | ### | | a_y_G32_stim_zp1g         |        0.47mg|   1.55mg  | -20mg < DC < 20 mg, AC < 2 mg |
14-Dec-2021 18:01:47  | INF | ### | | a_z_G32_stim_zp1g         |      996.13mg|   2.10mg  | 900mg < DC < 1100 mg, AC < 2 mg |
14-Dec-2021 18:01:47  | INF | ### | | a_x_G16_stim_zp1g         |        2.27mg|   1.16mg  | -20mg < DC < 20 mg, AC < 2 mg |
14-Dec-2021 18:01:47  | INF | ### | | a_y_G16_stim_zp1g         |       -0.66mg|   1.52mg  | -20mg < DC < 20 mg, AC < 2 mg |
14-Dec-2021 18:01:47  | INF | ### | | a_z_G16_stim_zp1g         |      995.33mg|   1.78mg  | 900mg < DC < 1100 mg, AC < 2 mg |
14-Dec-2021 18:01:48  | INF | ### | | a_x_stim_zp1g_pre_bite    |        3.79mg|   1.24mg  | -20mg < DC < 20 mg, AC < 2 mg |
14-Dec-2021 18:01:48  | INF | ### | | a_y_stim_zp1g_pre_bite    |       -7.89mg|   1.35mg  | -20mg < DC < 20 mg, AC < 2 mg |
14-Dec-2021 18:01:48  | INF | ### | | a_z_stim_zp1g_pre_bite    |      990.31mg|   1.23mg  | 980mg < DC < 1020 mg, AC < 2 mg |
14-Dec-2021 18:01:49  | INF | ### | | a_x_stim_zp1g_bite_sign0  |     4743.40mg|   1.58mg  | 3000mg < DC < 7000 mg |
14-Dec-2021 18:01:49  | INF | ### | | a_y_stim_zp1g_bite_sign0  |    -4315.55mg|   2.12mg  | -6500mg < DC < -2000 mg |
14-Dec-2021 18:01:49  | INF | ### | | a_z_stim_zp1g_bite_sign0  |    -3592.38mg|   1.26mg  | -5000mg < DC < -2000 mg |
14-Dec-2021 18:01:50  | INF | ### | | a_x_stim_zp1g_bite_sign1  |    -4761.05mg|   1.51mg  | -7000mg < DC < -3000 mg |
14-Dec-2021 18:01:50  | INF | ### | | a_y_stim_zp1g_bite_sign1  |     4073.20mg|   1.70mg  | 2000mg < DC < 6500 mg |
14-Dec-2021 18:01:50  | INF | ### | | a_z_stim_zp1g_bite_sign1  |     5808.01mg|   2.27mg  | 4000mg < DC < 7000 mg |
14-Dec-2021 18:01:51  | INF | ### | | a_x_stim_zp1g_post_bite   |        3.09mg|   1.46mg  | -20mg < DC < 20 mg, AC < 2 mg |
14-Dec-2021 18:01:51  | INF | ### | | a_y_stim_zp1g_post_bite   |       -8.75mg|   1.48mg  | -20mg < DC < 20 mg, AC < 2 mg |
14-Dec-2021 18:01:51  | INF | ### | | a_z_stim_zp1g_post_bite   |      990.08mg|   2.03mg  | 980mg < DC < 1020 mg, AC < 2 mg |
14-Dec-2021 18:01:51  | INF | ### | | a_x_stim_zp1g_bite_sum    |      -25.23mg|   0.00mg  | 3750mg < DC < 3750mg |
