10-Dec-2021 17:05:40  | FRM | ### | ----------------------------------------------------------------------------
10-Dec-2021 17:06:57  | INF | ### | | a_x_stim_zp1g_prepost_bite|        0.08mg|   0.00mg  | -10 mg < DC < 10mg |
10-Dec-2021 17:06:57  | INF | ### | | a_y_stim_zp1g_prepost_bite|       -0.04mg|   0.00mg  | -10 mg < DC < 10mg |
10-Dec-2021 17:06:57  | INF | ### | | a_z_stim_zp1g_prepost_bite|        0.00mg|   0.00mg  | -10 mg < DC < 10mg |
10-Dec-2021 17:06:59  | INF | ### | | a_x_S28_SC_Sensor_Mode    |   26788.83LSB|  0.43LSB  | X < DC < X, AC < X |
10-Dec-2021 17:06:59  | INF | ### | | a_y_S28_SC_Sensor_Mode    |  -25980.08LSB|  0.75LSB  | X < DC < X, AC < X |
10-Dec-2021 17:06:59  | INF | ### | | a_z_S28_SC_Sensor_Mode    |  -26413.09LSB|  0.69LSB  | X < DC < X, AC < X |
10-Dec-2021 17:07:00  | INF | ### | | a_x_S28_SC_CBIST          |   24281.76LSB|  1.13LSB  | X < DC < X, AC < X |
10-Dec-2021 17:07:00  | INF | ### | | a_y_S28_SC_CBIST          |  -23037.23LSB|  0.99LSB  | X < DC < X, AC < X |
10-Dec-2021 17:07:00  | INF | ### | | a_z_S28_SC_CBIST          |  -23504.65LSB|  0.58LSB  | X < DC < X, AC < X |
10-Dec-2021 17:07:00  | INF | ### | | NSF_S28_x                 |          0.91|     0.00  | NSF_S28_x |
10-Dec-2021 17:07:00  | INF | ### | | NSF_S28_y                 |          0.89|     0.00  | NSF_S28_y |
10-Dec-2021 17:07:00  | INF | ### | | NSF_S28_z                 |          0.89|     0.00  | NSF_S28_z |
10-Dec-2021 17:07:01  | INF | ### | | a_x_S28_DC_SC_CBIST       |    -521.09LSB|  1.05LSB  | X < DC < X, AC < X |
10-Dec-2021 17:07:01  | INF | ### | | a_y_S28_DC_SC_CBIST       |     353.36LSB|  0.61LSB  | X < DC < X, AC < X |
10-Dec-2021 17:07:01  | INF | ### | | a_z_S28_DC_SC_CBIST       |     431.09LSB|  0.75LSB  | X < DC < X, AC < X |
10-Dec-2021 17:07:01  | INF | ### | | a_x_S28_DC_SC_CBIST_nsf   |          0.96|     0.00  | a_x_S28_DC_SC_CBIST_nsf |
10-Dec-2021 17:07:01  | INF | ### | | a_y_S28_DC_SC_CBIST_nsf   |          0.54|     0.00  | a_y_S28_DC_SC_CBIST_nsf |
10-Dec-2021 17:07:01  | INF | ### | | a_z_S28_DC_SC_CBIST_nsf   |          0.67|     0.00  | a_z_S28_DC_SC_CBIST_nsf |
10-Dec-2021 17:07:01  | INF | ### | | c_odr_trim_current        |          0.00|     0.00  | c_odr_trim_current |
10-Dec-2021 17:07:01  | INF | ### | | acc_trm_dgain_s0_y        |   -7475.00LSB|  0.00LSB  | dgain_s0_DC_CBIST_Noise_nsf_S28 |
10-Dec-2021 17:07:01  | INF | ### | | acc_trm_dgain_s0_z        |   -7475.00LSB|  0.00LSB  | dgain_s0_DC_CBIST_Noise_nsf_S28 |
10-Dec-2021 17:07:02  | INF | ### | | acc_trm_dgain_s0_x        |   -7475.00LSB|  0.00LSB  | dgain_s0_DC_CBIST_Noise_nsf_S28 |
10-Dec-2021 17:07:02  | INF | ### | | a_x_S28_DC_CBIST          |    -372.93LSB|  0.51LSB  | X < DC < X, AC < X |
10-Dec-2021 17:07:02  | INF | ### | | a_y_S28_DC_CBIST          |     263.55LSB|  0.65LSB  | X < DC < X, AC < X |
10-Dec-2021 17:07:02  | INF | ### | | a_z_S28_DC_CBIST          |     318.44LSB|  0.48LSB  | X < DC < X, AC < X |
10-Dec-2021 17:07:02  | INF | ### | | tm_acc_ileak              |       1.00LSB|  0.00LSB  | tm_acc_ileak |
10-Dec-2021 17:07:03  | INF | ### | | a_x_S28_DC_ILEAK_Noise    |    -374.18LSB|  0.54LSB  | X < DC < X, AC < X |
10-Dec-2021 17:07:03  | INF | ### | | a_y_S28_DC_ILEAK_Noise    |     263.87LSB|  1.38LSB  | X < DC < X, AC < X |
10-Dec-2021 17:07:03  | INF | ### | | a_z_S28_DC_ILEAK_Noise    |     317.73LSB|  1.57LSB  | X < DC < X, AC < X |
10-Dec-2021 17:07:03  | INF | ### | | a_x_S28_DC_ILEAK_DIFF     |          1.25|     0.00  | a_x_S28_DC_ILEAK_DIFF |
10-Dec-2021 17:07:03  | INF | ### | | a_y_S28_DC_ILEAK_DIFF     |         -0.31|     0.00  | a_y_S28_DC_ILEAK_DIFF |
10-Dec-2021 17:07:03  | INF | ### | | a_z_S28_DC_ILEAK_DIFF     |          0.70|     0.00  | a_z_S28_DC_ILEAK_DIFF |
10-Dec-2021 17:07:03  | INF | ### | | tm_acc_axis_en            |       5.00LSB|  0.00LSB  | tm_acc_axis_en |
10-Dec-2021 17:07:04  | INF | ### | | a_x_S28_DC_ILEAK_CH2_Noise|    -374.88LSB|  0.59LSB  | X < DC < X, AC < X |
10-Dec-2021 17:07:04  | INF | ### | | a_y_S28_DC_ILEAK_CH2_Noise|   17748.05LSB|  0.00LSB  | X < DC < X, AC < X |
10-Dec-2021 17:07:04  | INF | ### | | a_z_S28_DC_ILEAK_CH2_Noise|     318.20LSB|  1.80LSB  | X < DC < X, AC < X |
10-Dec-2021 17:07:04  | INF | ### | | a_x_S28_DC_ILEAK_CH2_DIFF |          0.70|     0.00  | a_x_S28_DC_ILEAK_CH2_DIFF |
10-Dec-2021 17:07:04  | INF | ### | | a_y_S28_DC_ILEAK_CH2_DIFF |     -17484.18|     0.00  | a_y_S28_DC_ILEAK_CH2_DIFF |
10-Dec-2021 17:07:04  | INF | ### | | a_z_S28_DC_ILEAK_CH2_DIFF |         -0.47|     0.00  | a_z_S28_DC_ILEAK_CH2_DIFF |
10-Dec-2021 17:07:04  | INF | ### | | tm_acc_axis_en            |       7.00LSB|  0.00LSB  | tm_acc_axis_en |
10-Dec-2021 17:07:05  | SEN | 004 | module_id:6942
