16-Nov-2021 13:59:17  | INF | ### | | S23_AoutStUp_Loop, vco_diff = -1|          6.00|     0.00  | S23 -> combo |
16-Nov-2021 13:59:17  | INF | ### | | S23:g:OutlierCnt:Scr23, vco_diff = -1|        100.00|     0.00  | S23 -> combo |
16-Nov-2021 13:59:17  | INF | ### | | S23:g:TimeIndex:Outlier:first:Scr23, vco_diff = -1|          0.00|     0.00  | S23 -> combo |
16-Nov-2021 13:59:17  | INF | ### | | S23:g:TimeIndex:Outlier:last:Scr23, vco_diff = -1|         99.00|     0.00  | S23 -> combo |
16-Nov-2021 13:59:19  | INF | ### | | S23_AoutStUp_Loop, vco_diff = 1|          7.00|     0.00  | S23 -> combo |
16-Nov-2021 13:59:19  | INF | ### | | S23:g:OutlierCnt:Scr23, vco_diff = 1|        100.00|     0.00  | S23 -> combo |
16-Nov-2021 13:59:19  | INF | ### | | S23:g:TimeIndex:Outlier:first:Scr23, vco_diff = 1|          0.00|     0.00  | S23 -> combo |
16-Nov-2021 13:59:19  | INF | ### | | S23:g:TimeIndex:Outlier:last:Scr23, vco_diff = 1|         99.00|     0.00  | S23 -> combo |
16-Nov-2021 13:59:19  | INF | ### | sample trace out files have been created in ;c:\TempMessdaten\\20211116135813\\AoutStartUp_Loop7_Pos1_module_id_6470_20211116135917.csv
16-Nov-2021 13:59:20  | INF | ### | | GYRO_STARTUP time         |        0.00ms|   0.00ms  | check only the mean value |
16-Nov-2021 13:59:20  | INF | ### | | ASIC_temp_start           |     22.21degC| 0.00degC  | ^~temperature taken upon start~^ |
16-Nov-2021 13:59:20  | INF | ### | | ASIC_temp_end             |     22.33degC| 0.02degC  | ^~temperature taken at the end~^ |
16-Nov-2021 13:59:20  | INF | ### | 
16-Nov-2021 13:59:22  | INF | ### | Paranoia power reset (TM)
16-Nov-2021 13:59:26  | INF | ### | | a_x_G32_stim_zp1g         |       -2.34mg|   1.89mg  | -20mg < DC < 20 mg, AC < 2 mg |
16-Nov-2021 13:59:26  | INF | ### | | a_y_G32_stim_zp1g         |      -15.74mg|   2.45mg  | -20mg < DC < 20 mg, AC < 2 mg |
16-Nov-2021 13:59:26  | INF | ### | | a_z_G32_stim_zp1g         |      992.34mg|   2.59mg  | 900mg < DC < 1100 mg, AC < 2 mg |
16-Nov-2021 13:59:27  | INF | ### | | a_x_G16_stim_zp1g         |        3.40mg|   1.41mg  | -20mg < DC < 20 mg, AC < 2 mg |
16-Nov-2021 13:59:27  | INF | ### | | a_y_G16_stim_zp1g         |      -16.13mg|   1.77mg  | -20mg < DC < 20 mg, AC < 2 mg |
16-Nov-2021 13:59:27  | INF | ### | | a_z_G16_stim_zp1g         |      991.52mg|   1.89mg  | 900mg < DC < 1100 mg, AC < 2 mg |
16-Nov-2021 13:59:28  | INF | ### | | a_x_stim_zp1g_pre_bite    |        2.42mg|   1.57mg  | -20mg < DC < 20 mg, AC < 2 mg |
16-Nov-2021 13:59:28  | INF | ### | | a_y_stim_zp1g_pre_bite    |      -21.48mg|   1.59mg  | -20mg < DC < 20 mg, AC < 2 mg |
16-Nov-2021 13:59:28  | INF | ### | | a_z_stim_zp1g_pre_bite    |      984.61mg|   1.47mg  | 980mg < DC < 1020 mg, AC < 2 mg |
