06-Dec-2021 17:19:14  | INF | ### | | S23:g:TimeIndex:Outlier:first:Scr23, vco_diff = 2|          0.00|     0.00  | S23 -> combo |
06-Dec-2021 17:19:14  | INF | ### | | S23:g:TimeIndex:Outlier:last:Scr23, vco_diff = 2|         26.00|     0.00  | S23 -> combo |
06-Dec-2021 17:19:16  | INF | ### | | S23_AoutStUp_Loop, vco_diff = -1|          6.00|     0.00  | S23 -> combo |
06-Dec-2021 17:19:16  | INF | ### | | S23:g:OutlierCnt:Scr23, vco_diff = -1|         13.00|     0.00  | S23 -> combo |
06-Dec-2021 17:19:16  | INF | ### | | S23:g:TimeIndex:Outlier:first:Scr23, vco_diff = -1|          0.00|     0.00  | S23 -> combo |
06-Dec-2021 17:19:16  | INF | ### | | S23:g:TimeIndex:Outlier:last:Scr23, vco_diff = -1|         27.00|     0.00  | S23 -> combo |
06-Dec-2021 17:19:18  | INF | ### | | S23_AoutStUp_Loop, vco_diff = 1|          7.00|     0.00  | S23 -> combo |
06-Dec-2021 17:19:18  | INF | ### | | S23:g:OutlierCnt:Scr23, vco_diff = 1|         14.00|     0.00  | S23 -> combo |
06-Dec-2021 17:19:18  | INF | ### | | S23:g:TimeIndex:Outlier:first:Scr23, vco_diff = 1|          0.00|     0.00  | S23 -> combo |
06-Dec-2021 17:19:18  | INF | ### | | S23:g:TimeIndex:Outlier:last:Scr23, vco_diff = 1|         28.00|     0.00  | S23 -> combo |
06-Dec-2021 17:19:18  | INF | ### | sample trace out files have been created in ;c:\TempMessdaten\\20211206171809\\AoutStartUp_Loop7_Pos1_module_id_12564_20211206171916.csv
06-Dec-2021 17:19:19  | INF | ### | | GYRO_STARTUP time         |       30.04ms|   0.00ms  | check only the mean value |
06-Dec-2021 17:19:19  | INF | ### | | ASIC_temp_start           |     19.06degC| 0.02degC  | ^~temperature taken upon start~^ |
06-Dec-2021 17:19:19  | INF | ### | | ASIC_temp_end             |     19.18degC| 0.00degC  | ^~temperature taken at the end~^ |
06-Dec-2021 17:19:19  | INF | ### | 
06-Dec-2021 17:19:21  | INF | ### | Paranoia power reset (TM)
06-Dec-2021 17:19:25  | INF | ### | | a_x_G32_stim_zp1g         |        6.02mg|   2.16mg  | -20mg < DC < 20 mg, AC < 2 mg |
06-Dec-2021 17:19:25  | INF | ### | | a_y_G32_stim_zp1g         |       -8.83mg|   2.68mg  | -20mg < DC < 20 mg, AC < 2 mg |
06-Dec-2021 17:19:25  | INF | ### | | a_z_G32_stim_zp1g         |      988.91mg|   1.54mg  | 900mg < DC < 1100 mg, AC < 2 mg |
06-Dec-2021 17:19:26  | INF | ### | | a_x_G16_stim_zp1g         |        3.42mg|   1.84mg  | -20mg < DC < 20 mg, AC < 2 mg |
06-Dec-2021 17:19:26  | INF | ### | | a_y_G16_stim_zp1g         |      -10.47mg|   1.56mg  | -20mg < DC < 20 mg, AC < 2 mg |
06-Dec-2021 17:19:26  | INF | ### | | a_z_G16_stim_zp1g         |      988.69mg|   2.09mg  | 900mg < DC < 1100 mg, AC < 2 mg |
06-Dec-2021 17:19:27  | INF | ### | | a_x_stim_zp1g_pre_bite    |       11.52mg|   1.52mg  | -20mg < DC < 20 mg, AC < 2 mg |
06-Dec-2021 17:19:27  | INF | ### | | a_y_stim_zp1g_pre_bite    |      -11.84mg|   1.47mg  | -20mg < DC < 20 mg, AC < 2 mg |
06-Dec-2021 17:19:27  | INF | ### | | a_z_stim_zp1g_pre_bite    |      982.85mg|   2.03mg  | 980mg < DC < 1020 mg, AC < 2 mg |
06-Dec-2021 17:19:28  | INF | ### | | a_x_stim_zp1g_bite_sign0  |     5356.76mg|   1.46mg  | 3000mg < DC < 7000 mg |
06-Dec-2021 17:19:28  | INF | ### | | a_y_stim_zp1g_bite_sign0  |    -4546.95mg|   2.29mg  | -6500mg < DC < -2000 mg |
06-Dec-2021 17:19:28  | INF | ### | | a_z_stim_zp1g_bite_sign0  |    -3625.27mg|   1.07mg  | -5000mg < DC < -2000 mg |
06-Dec-2021 17:19:28  | INF | ### | | a_x_stim_zp1g_bite_sign1  |    -5038.91mg|   1.12mg  | -7000mg < DC < -3000 mg |
06-Dec-2021 17:19:28  | INF | ### | | a_y_stim_zp1g_bite_sign1  |     4655.74mg|   1.41mg  | 2000mg < DC < 6500 mg |
06-Dec-2021 17:19:28  | INF | ### | | a_z_stim_zp1g_bite_sign1  |     5827.70mg|   1.83mg  | 4000mg < DC < 7000 mg |
06-Dec-2021 17:19:30  | INF | ### | | a_x_stim_zp1g_post_bite   |       11.45mg|   1.40mg  | -20mg < DC < 20 mg, AC < 2 mg |
06-Dec-2021 17:19:30  | INF | ### | | a_y_stim_zp1g_post_bite   |      -12.46mg|   1.58mg  | -20mg < DC < 20 mg, AC < 2 mg |
06-Dec-2021 17:19:30  | INF | ### | | a_z_stim_zp1g_post_bite   |      983.40mg|   1.85mg  | 980mg < DC < 1020 mg, AC < 2 mg |
06-Dec-2021 17:19:30  | INF | ### | | a_x_stim_zp1g_bite_sum    |      294.80mg|   0.00mg  | 3750mg < DC < 3750mg |
06-Dec-2021 17:19:30  | INF | ### | | a_y_stim_zp1g_bite_sum    |      132.46mg|   0.00mg  | 3750mg < DC < 3750mg |
06-Dec-2021 17:19:30  | INF | ### | | a_z_stim_zp1g_bite_sum    |      236.72mg|   0.00mg  | 3750mg < DC < 3750mg |
06-Dec-2021 17:19:30  | INF | ### | | a_x_stim_zp1g_bite_diff   |    10395.66mg|   0.00mg  | 6500mg < DC < 13000mg |
06-Dec-2021 17:19:30  | INF | ### | | a_y_stim_zp1g_bite_diff   |    -9202.70mg|   0.00mg  | -12000mg < DC < -5500mg |
06-Dec-2021 17:19:30  | INF | ### | | a_z_stim_zp1g_bite_diff   |    -9452.97mg|   0.00mg  | -11500mg < DC < -7000mg |
06-Dec-2021 17:19:30  | INF | ### | | a_x_stim_zp1g_prepost_bite|       -0.08mg|   0.00mg  | -10 mg < DC < 10mg |
06-Dec-2021 17:19:30  | INF | ### | | a_y_stim_zp1g_prepost_bite|       -0.63mg|   0.00mg  | -10 mg < DC < 10mg |
06-Dec-2021 17:19:30  | INF | ### | | a_z_stim_zp1g_prepost_bite|        0.55mg|   0.00mg  | -10 mg < DC < 10mg |
06-Dec-2021 17:19:32  | INF | ### | | a_x_S28_SC_Sensor_Mode    |   25175.27LSB|  0.70LSB  | X < DC < X, AC < X |
06-Dec-2021 17:19:32  | INF | ### | | a_y_S28_SC_Sensor_Mode    |  -25878.71LSB|  0.56LSB  | X < DC < X, AC < X |
06-Dec-2021 17:19:32  | INF | ### | | a_z_S28_SC_Sensor_Mode    |  -24832.89LSB|  0.65LSB  | X < DC < X, AC < X |
06-Dec-2021 17:19:33  | INF | ### | | a_x_S28_SC_CBIST          |   22953.87LSB|  0.81LSB  | X < DC < X, AC < X |
06-Dec-2021 17:19:33  | INF | ### | | a_y_S28_SC_CBIST          |  -23142.34LSB|  1.07LSB  | X < DC < X, AC < X |
