23-Dec-2021 16:01:11  | FRM | ### | ----------------------------------------------------------------------------
23-Dec-2021 16:02:30  | INF | ### | | a_x_stim_zp1g_post_bite   |        5.08mg|   1.62mg  | -20mg < DC < 20 mg, AC < 2 mg |
23-Dec-2021 16:02:30  | INF | ### | | a_y_stim_zp1g_post_bite   |       -8.95mg|   2.37mg  | -20mg < DC < 20 mg, AC < 2 mg |
23-Dec-2021 16:02:30  | INF | ### | | a_z_stim_zp1g_post_bite   |      989.53mg|   1.77mg  | 980mg < DC < 1020 mg, AC < 2 mg |
23-Dec-2021 16:02:30  | INF | ### | | a_x_stim_zp1g_bite_sum    |     -137.34mg|   0.00mg  | 3750mg < DC < 3750mg |
23-Dec-2021 16:02:30  | INF | ### | | a_y_stim_zp1g_bite_sum    |     -200.00mg|   0.00mg  | 3750mg < DC < 3750mg |
23-Dec-2021 16:02:30  | INF | ### | | a_z_stim_zp1g_bite_sum    |      356.02mg|   0.00mg  | 3750mg < DC < 3750mg |
23-Dec-2021 16:02:30  | INF | ### | | a_x_stim_zp1g_bite_diff   |    10502.34mg|   0.00mg  | 6500mg < DC < 13000mg |
23-Dec-2021 16:02:30  | INF | ### | | a_y_stim_zp1g_bite_diff   |    -9335.55mg|   0.00mg  | -12000mg < DC < -5500mg |
23-Dec-2021 16:02:30  | INF | ### | | a_z_stim_zp1g_bite_diff   |    -9538.52mg|   0.00mg  | -11500mg < DC < -7000mg |
23-Dec-2021 16:02:30  | INF | ### | | a_x_stim_zp1g_prepost_bite|       -0.20mg|   0.00mg  | -10 mg < DC < 10mg |
23-Dec-2021 16:02:30  | INF | ### | | a_y_stim_zp1g_prepost_bite|        0.04mg|   0.00mg  | -10 mg < DC < 10mg |
23-Dec-2021 16:02:30  | INF | ### | | a_z_stim_zp1g_prepost_bite|        0.35mg|   0.00mg  | -10 mg < DC < 10mg |
23-Dec-2021 16:02:32  | INF | ### | | a_x_S28_SC_Sensor_Mode    |   26779.41LSB|  0.71LSB  | X < DC < X, AC < X |
23-Dec-2021 16:02:32  | INF | ### | | a_y_S28_SC_Sensor_Mode    |  -25974.06LSB|  0.49LSB  | X < DC < X, AC < X |
23-Dec-2021 16:02:32  | INF | ### | | a_z_S28_SC_Sensor_Mode    |  -26407.89LSB|  0.78LSB  | X < DC < X, AC < X |
23-Dec-2021 16:02:32  | INF | ### | | a_x_S28_SC_CBIST          |   24281.29LSB|  1.00LSB  | X < DC < X, AC < X |
23-Dec-2021 16:02:32  | INF | ### | | a_y_S28_SC_CBIST          |  -23037.27LSB|  0.61LSB  | X < DC < X, AC < X |
23-Dec-2021 16:02:32  | INF | ### | | a_z_S28_SC_CBIST          |  -23504.22LSB|  0.78LSB  | X < DC < X, AC < X |
23-Dec-2021 16:02:33  | INF | ### | | NSF_S28_x                 |          0.91|     0.00  | NSF_S28_x |
23-Dec-2021 16:02:33  | INF | ### | | NSF_S28_y                 |          0.89|     0.00  | NSF_S28_y |
23-Dec-2021 16:02:33  | INF | ### | | NSF_S28_z                 |          0.89|     0.00  | NSF_S28_z |
23-Dec-2021 16:02:33  | INF | ### | | a_x_S28_DC_SC_CBIST       |    -521.56LSB|  0.97LSB  | X < DC < X, AC < X |
23-Dec-2021 16:02:33  | INF | ### | | a_y_S28_DC_SC_CBIST       |     352.70LSB|  1.04LSB  | X < DC < X, AC < X |
23-Dec-2021 16:02:33  | INF | ### | | a_z_S28_DC_SC_CBIST       |     430.94LSB|  0.66LSB  | X < DC < X, AC < X |
